Country Name,Country Code,PCA1,PCA2,KMeans_Cluster,Agg_Cluster
Afghanistan,AFG,-2.852095125625782,-0.5530074610461031,1,0
Albania,ALB,0.6197616776799307,1.9137379803932328,2,1
Algeria,DZA,0.38634911900789953,0.4569029886673675,2,1
Andorra,AND,1.636675715435981,0.2349924743463584,2,1
Angola,AGO,-2.623485880583476,-0.927718557464,1,0
Antigua and Barbuda,ATG,0.46677965979466823,0.018332382420155818,2,1
Argentina,ARG,1.3611759327996542,0.4443404444589142,2,1
Armenia,ARM,0.15918900813219058,1.9428655404384254,2,1
Aruba,ABW,1.663907321655853,-0.3418949584337827,0,1
Australia,AUS,2.854574628497504,-0.6379786718292075,0,2
Austria,AUT,2.0755216366246962,-0.332205925697555,0,2
